Area,Area_glatt,Datum,Volume,WD,WD_calc_smooth,Vol_calc
,,2017-02-28,11998.838983036874,3.94275,,
,,2017-03-01,12284.538481705276,3.978166666666666,,
,,2017-03-02,12248.722088421875,3.97375,,
,,2017-03-03,12521.723745286872,4.00725,,
,,2017-03-04,14014.582522631948,4.184166666666667,,
,,2017-03-05,15434.908388671867,4.343749999999999,,
,,2017-03-06,16160.791616842978,4.422416666666666,,
,,2017-03-07,16467.996544705275,4.455166666666666,,
,,2017-03-08,15904.336510871943,4.394833333333334,,
,,2017-03-09,16392.682267558605,4.447166666666666,,
,,2017-03-10,16770.218328366303,4.487083333333332,,
,,2017-03-11,17038.455422505267,4.5151666666666666,,
,,2017-03-12,17394.358432074652,4.552083333333333,,
,,2017-03-13,16419.335975,4.45,,
,,2017-03-14,16247.260967194436,4.431666666666667,,
,,2017-03-15,16451.50652950131,4.453416666666667,,
,,2017-03-16,17333.034638881876,4.54575,,
,,2017-03-17,18276.049247464645,4.641916666666666,,
,,2017-03-18,19372.200185947982,4.750583333333333,,
,,2017-03-19,19608.365464556304,4.773583333333332,,
,,2017-03-20,19872.76307513193,4.7991666666666655,,
,,2017-03-21,19006.311226737773,4.714666666666666,,
,,2017-03-22,16683.13201265798,4.477916666666666,,
,,2017-03-23,14170.559779991321,4.202083333333333,,
,,2017-03-24,11865.583991731322,3.9260833333333336,,
,,2017-03-25,10419.646584604448,3.738666666666668,,
,,2017-03-26,9348.908330072982,3.591083333333333,,
,,2017-03-27,7663.106369011877,3.3397500000000004,,
,,2017-03-28,6400.102450681319,3.1319166666666667,,
,,2017-03-29,5345.302125858614,2.9411666666666667,,
,,2017-03-30,4474.25669376,2.768,,
,,2017-03-31,3821.42900924,2.6260000000000003,,
,,2017-04-01,3468.6188636718757,2.54375,,
,,2017-04-02,2933.6136843618733,2.40975,,
,,2017-04-03,2340.0592526400005,2.244,,
,,2017-04-04,1945.0915865679856,2.1199166666666667,,
,,2017-04-05,1589.0650380746522,1.9945833333333327,,
,,2017-04-06,1310.1659351718747,1.88375,,
,,2017-04-07,1024.350448699652,1.752916666666667,,
,,2017-04-08,767.3333556763197,1.6109166666666668,,
,,2017-04-09,584.0549298877779,1.4836666666666665,,
,,2017-04-10,492.90447995965246,1.4049166666666668,,
,,2017-04-11,425.5360451319446,1.3341666666666667,,
,,2017-04-12,358.94365244965246,1.242916666666667,,
,,2017-04-13,334.3615574763192,1.1975833333333332,,
,,2017-04-14,302.53577613777765,1.1086666666666667,,
,,2017-04-15,292.5779181979858,1.0339166666666666,,
,,2017-04-16,305.57910663861094,0.9248333333333332,,
,,2017-04-17,374.67253915999964,0.7779999999999999,,
,,2017-04-18,454.515515798611,0.6791666666666667,,
,,2017-04-19,614.1877259377778,0.5386666666666667,,
,,2017-04-20,795.5579796679865,0.41741666666666655,,
,,2017-04-21,914.9439137813192,0.3494166666666667,,
,,2017-04-22,857.9146713900002,0.381,,
,,2017-04-23,899.630603461875,0.35775,,
,,2017-04-24,1064.4304643663195,0.27291666666666664,,
,,2017-04-25,1097.2019757919447,0.2571666666666666,,
,,2017-04-26,1129.0462306919446,0.24216666666666656,,
,,2017-04-27,1189.7718858344447,0.2143333333333333,,
,,2017-04-28,1251.668239489653,0.18691666666666665,,
,,2017-04-29,1556.2936487777781,0.06333333333333334,,
,,2017-04-30,1639.9662697413196,0.032083333333333304,,
,,2017-05-01,1662.0461222400004,0.02399999999999997,,
,,2017-05-02,1832.758123939653,-0.03641666666666668,,
,,2017-05-03,1946.5204438052774,-0.07483333333333336,,
,,2017-05-04,1940.99935371,-0.07300000000000002,,
,,2017-05-05,2020.9313263068752,-0.09925000000000002,,
,,2017-05-06,2013.7496416063195,-0.09691666666666668,,
,,2017-05-07,1930.4847199475,-0.0695,,
,,2017-05-08,1956.8343760818752,-0.07825000000000003,,
,,2017-05-09,1909.8047228679861,-0.06258333333333332,,
,,2017-05-10,1940.7486143663195,-0.07291666666666669,,
,,2017-05-11,1868.3484727646528,-0.04858333333333333,,
,,2017-05-12,1903.1058128211114,-0.060333333333333385,,
,,2017-05-13,474.1022001899999,0.659,,
,,2017-05-14,2893.7748058068746,2.39925,,
,,2017-05-15,5171.663878574652,2.907916666666667,,
,,2017-05-16,7192.626654991316,3.264583333333333,,
,,2017-05-17,9137.406979926325,3.5609166666666674,,
,,2017-05-18,11218.495576171876,3.84375,,
,,2017-05-19,13053.241818697988,4.071416666666667,,
,,2017-05-20,14782.461166364646,4.271416666666666,,
,,2017-05-21,15668.343851356874,4.36925,,
,,2017-05-22,16041.989257621104,4.409666666666666,,
,,2017-05-23,15281.78887678965,4.3269166666666665,,
,,2017-05-24,12196.108595086875,3.96725,,
,,2017-05-25,13070.688400227493,4.073499999999999,,
,,2017-05-26,13722.44335655444,4.150333333333333,,
,,2017-05-27,14189.481890131872,4.20425,,
,,2017-05-28,14689.686241790007,4.261000000000001,,
,,2017-05-29,15508.712608605269,4.3518333333333326,,
,,2017-05-30,16930.741383714645,4.503916666666666,,
,,2017-05-31,18853.711015032968,4.699583333333332,,
,,2017-06-01,20499.898980131944,4.859166666666667,,
,,2017-06-02,22389.181466347487,5.034499999999999,,
